customer_key,customer_id,name,email,city,signup_date
5001,1,Customer 1,customer1@example.com,Bogor,2023-01-26
5002,2,Customer 2,customer2@example.com,Bekasi,2023-09-08
5003,3,Customer 3,customer3@example.com,Tangerang,2023-05-23
5004,4,Customer 4,customer4@example.com,Bogor,2024-11-23
5005,5,Customer 5,customer5@example.com,Semarang,2023-03-31
5006,6,Customer 6,customer6@example.com,Medan,2024-03-08
5007,7,Customer 7,customer7@example.com,Jakarta,2023-01-31
5008,8,Customer 8,customer8@example.com,Bogor,2023-08-12
5009,9,Customer 9,customer9@example.com,Tangerang,2024-06-01
5010,10,Customer 10,customer10@example.com,Medan,2023-01-28
5011,11,Customer 11,customer11@example.com,Semarang,2023-07-23
5012,12,Customer 12,customer12@example.com,Semarang,2024-03-05
5013,13,Customer 13,customer13@example.com,Tangerang,2024-04-04
5014,14,Customer 14,customer14@example.com,Medan,2023-10-12
5015,15,Customer 15,customer15@example.com,Jakarta,2023-06-13
5016,16,Customer 16,customer16@example.com,Yogyakarta,2023-12-15
5017,17,Customer 17,customer17@example.com,Bekasi,2023-06-09
5018,18,Customer 18,customer18@example.com,Tangerang,2023-12-11
5019,19,Customer 19,customer19@example.com,Bogor,2023-04-05
5020,20,Customer 20,customer20@example.com,Yogyakarta,2023-04-10
5021,21,Customer 21,customer21@example.com,Bandung,2023-12-19
5022,22,Customer 22,customer22@example.com,Medan,2023-09-28
5023,23,Customer 23,customer23@example.com,Jakarta,2024-04-15
5024,24,Customer 24,customer24@example.com,Semarang,2023-05-08
5025,25,Customer 25,customer25@example.com,Yogyakarta,2023-03-22
5026,26,Customer 26,customer26@example.com,Semarang,2023-10-28
5027,27,Customer 27,customer27@example.com,Medan,2024-01-06
5028,28,Customer 28,customer28@example.com,Medan,2023-07-16
5029,29,Customer 29,customer29@example.com,Bogor,2023-02-16
5030,30,Customer 30,customer30@example.com,Tangerang,2023-10-24
5031,31,Customer 31,customer31@example.com,Bogor,2023-08-27
5032,32,Customer 32,customer32@example.com,Bogor,2024-01-25
5033,33,Customer 33,customer33@example.com,Bekasi,2024-04-09
5034,34,Customer 34,customer34@example.com,Bandung,2023-06-16
5035,35,Customer 35,customer35@example.com,Bandung,2023-12-30
5036,36,Customer 36,customer36@example.com,Tangerang,2024-11-17
5037,37,Customer 37,customer37@example.com,Bekasi,2024-12-19
5038,38,Customer 38,customer38@example.com,Bogor,2024-09-15
5039,39,Customer 39,customer39@example.com,Depok,2024-06-30
5040,40,Customer 40,customer40@example.com,Tangerang,2023-06-17
5041,41,Customer 41,customer41@example.com,Surabaya,2024-01-24
5042,42,Customer 42,customer42@example.com,Bekasi,2024-10-17
5043,43,Customer 43,customer43@example.com,Semarang,2023-08-13
5044,44,Customer 44,customer44@example.com,Bandung,2023-02-27
5045,45,Customer 45,customer45@example.com,Tangerang,2023-02-02
5046,46,Customer 46,customer46@example.com,Bandung,2024-02-15
5047,47,Customer 47,customer47@example.com,Bekasi,2023-03-09
5048,48,Customer 48,customer48@example.com,Tangerang,2024-08-03
5049,49,Customer 49,customer49@example.com,Bandung,2023-08-06
5050,50,Customer 50,customer50@example.com,Surabaya,2024-02-10
5051,51,Customer 51,customer51@example.com,Surabaya,2023-05-27
5052,52,Customer 52,customer52@example.com,Bekasi,2023-05-23
5053,53,Customer 53,customer53@example.com,Tangerang,2024-07-28
5054,54,Customer 54,customer54@example.com,Semarang,2023-09-27
5055,55,Customer 55,customer55@example.com,Medan,2024-03-14
5056,56,Customer 56,customer56@example.com,Medan,2024-02-13
5057,57,Customer 57,customer57@example.com,Bandung,2023-08-13
5058,58,Customer 58,customer58@example.com,Depok,2024-06-05
5059,59,Customer 59,customer59@example.com,Surabaya,2023-04-04
5060,60,Customer 60,customer60@example.com,Jakarta,2023-04-23
5061,61,Customer 61,customer61@example.com,Depok,2024-10-04
5062,62,Customer 62,customer62@example.com,Depok,2024-11-27
5063,63,Customer 63,customer63@example.com,Yogyakarta,2024-09-02
5064,64,Customer 64,customer64@example.com,Bogor,2024-01-30
